식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식이섬유(g),나트륨(mg)
토스트(식빵),100ml,84,2.5,1.33,15.55,1.0,140.0
트위스터샌드위치,100ml,56,3.6,2.96,3.3,0.4,124.0
파운드케이크,100ml,226,3.5,11.79,26.67,0.6,119.0
햄샌드위치,100ml,185,5.3,10.0,18.69,1.8,321.0
간자장,100ml,155,5.39,2.81,25.98,1.8,345.0
국수,100ml,56,2.5,0.96,8.87,0.3,274.0
라면,100ml,79,1.5,2.52,12.19,0.7,58.0
옥수수밥,100ml,113,2.1,0.34,24.39,0.6,4.0
완두콩밥,100ml,114,2.2,0.33,24.47,0.7,1.0
유부초밥,100ml,199,5.8,6.92,27.04,0.9,134.0
육회비빔밥,100ml,115,3.9,2.88,17.66,0.9,77.0
장어덮밥,100ml,95,3.5,1.99,15.04,0.4,80.0
팥밥,100ml,140,3.2,0.41,29.53,1.3,1.0
해물덮밥,100ml,78,3.8,0.39,14.15,0.6,68.0
혼합잡곡밥,100ml,118,2.3,0.22,25.63,0.7,2.0
계란빵,100ml,158,6.0,1.99,27.2,0.9,193.0
츄러스,100ml,185,4.2,4.29,30.74,1.0,303.0
피자,100ml,153,7.8,4.77,21.07,1.6,179.0
호떡,100ml,147,2.7,5.91,20.14,0.9,2.0
감자샐러드샌드위치,100ml,108,3.1,4.73,13.39,1.3,217.0
소고기샌드위치,100ml,203,6.9,10.61,19.7,1.2,328.0
메기매운탕,100ml,59,4.0,1.46,7.39,1.0,264.0
흑미밥,100ml,120,2.3,0.37,25.73,0.7,1.0
강낭콩밥,100ml,111,2.2,0.15,24.21,0.8,2.0
검정콩밥,100ml,136,3.3,0.79,27.6,1.2,1.0
굴국밥,100ml,63,1.6,0.32,12.79,0.5,144.0
굴밥,100ml,122,4.3,1.95,21.44,1.0,126.0
낙지덮밥,100ml,92,4.5,1.28,15.44,1.2,187.0
낙지비빔밥,100ml,88,4.3,1.31,14.72,1.0,176.0
닭고기덮밥,100ml,89,4.3,0.38,16.36,0.6,67.0
돼지머리국밥,100ml,72,2.1,1.16,12.55,0.5,143.0
모듬김밥,100ml,113,4.2,2.75,17.49,1.3,184.0
모듬초밥,100ml,189,10.0,3.14,28.65,0.7,394.0
무밥,100ml,177,3.7,1.06,36.68,1.3,198.0
버섯덮밥,100ml,101,2.6,1.63,18.47,0.9,63.0
비빔잡곡밥,100ml,138,3.6,2.12,25.66,2.1,93.0
소고기국밥,100ml,66,2.3,0.56,12.54,0.5,124.0
양송이덮밥,100ml,93,1.9,0.65,19.64,0.7,46.0
열무비빔밥,100ml,84,2.5,0.51,16.86,0.9,112.0
잡채밥,100ml,113,3.1,2.08,19.65,0.7,81.0
잡탕밥,100ml,115,5.5,1.84,18.63,0.8,88.0
주먹밥,100ml,135,2.3,2.09,25.52,0.7,105.0
짜장밥,100ml,93,2.85,1.94,15.58,1.1,180.0
짬뽕밥,100ml,48,2.2,0.85,7.6,0.6,89.0
차조밥,100ml,120,2.3,0.4,25.66,0.8,1.0
참치덮밥,100ml,108,5.8,2.13,15.91,1.2,341.0
충무김밥,100ml,128,3.5,1.9,23.59,1.5,186.0
콩나물국밥,100ml,60,2.66,0.73,10.69,0.8,58.0
현미밥,100ml,120,2.3,0.38,25.75,0.7,1.0
비빔밥,100ml,133,4.5,4.64,17.68,1.1,134.0
삼각김밥,100ml,185,4.8,4.4,30.58,1.2,179.0
수수밥,100ml,122,2.4,0.4,26.0,0.9,1.0
알밥,100ml,86,2.3,1.45,15.67,0.8,151.0
영양돌솥밥,100ml,119,2.43,0.44,25.29,0.9,2.0
오곡밥,100ml,144,3.4,0.65,29.8,1.5,123.0
오므라이스,100ml,117,3.64,3.33,17.22,0.8,211.0
율무밥,100ml,118,2.2,0.17,25.56,0.3,2.0
잡곡밥,100ml,131,3.1,0.7,27.13,1.4,1.0
누룽지,100ml,87,1.5,0.06,19.17,1.0,1.0
돌솥비빔밥,100ml,101,3.4,1.78,17.46,1.2,93.0
묵밥,100ml,70,2.6,0.74,12.99,1.1,93.0
보리밥,100ml,117,2.6,0.44,25.22,1.9,1.0
팝콘,100g,511,8.3,27.34,58.06,10.4,500.0
대구포,100g,141,31.97,0.4,2.33,1.2,3876.0
계란덮밥,100ml,169,5.0,3.69,27.22,0.8,105.0
곤드레밥,100ml,124,2.2,0.94,26.8,4.4,9.0
기장밥,100ml,129,2.5,0.39,27.57,0.8,1.0
레몬청차,100g,60,0.13,0.01,14.8,0.9,3.0
식혜,100g,87,1.53,1.75,16.21,0.3,2.0
고추장아찌,100g,124,2.39,0.63,31.49,4.8,2026.0
마늘쫑장아찌,100g,118,1.96,0.14,27.34,5.2,1410.0
매실장아찌,100g,243,1.65,0.43,58.11,3.9,1126.0
무장아찌,100g,80,1.47,0.76,16.76,2.4,2933.0
오이지,100g,29,0.82,1.79,2.52,2.1,2370.0
동치미,100g,11,0.49,0.07,2.08,0.8,472.0
배추김치,100g,38,1.98,0.43,6.49,2.5,551.0
백김치,100g,16,0.95,0.07,3.0,1.9,395.0
부추김치,100g,71,3.03,2.83,8.42,2.9,670.0
얼갈이배추김치,100g,30,1.88,0.58,4.37,3.3,581.0
열무김치,100g,36,2.39,0.38,5.87,2.7,583.0
열무물김치,100g,18,1.41,0.07,2.91,0.5,493.0
열무얼갈이김치,100g,35,2.15,0.66,5.22,3.1,680.0
오이소박이,100g,37,1.76,0.37,6.66,3.1,302.0
